iter	Passed	Remaining
600	746	495
601	747	493
602	748	492
603	749	491
604	750	489
605	751	488
606	752	487
607	753	485
608	754	484
609	755	482
610	756	481
611	757	480
612	758	478
613	759	477
614	760	475
615	761	474
616	761	472
617	762	471
618	763	470
619	765	468
620	766	467
621	767	466
622	768	464
623	769	463
624	770	462
625	771	460
626	772	459
627	773	458
628	774	456
629	775	455
630	776	453
631	777	452
632	778	451
633	779	449
634	780	448
635	781	447
636	782	446
637	783	444
638	784	443
639	785	441
640	786	440
641	787	439
642	788	437
643	789	436
644	790	435
645	791	433
646	792	432
647	793	430
648	794	429
649	795	428
650	796	427
651	797	425
652	798	424
653	799	422
654	800	421
655	801	420
656	802	418
657	803	417
658	804	416
659	805	414
660	806	413
661	807	412
662	808	410
663	808	409
664	809	407
665	811	406
666	812	405
667	812	404
668	814	402
669	815	401
670	816	400
671	817	398
672	818	397
673	819	396
674	820	394
675	821	393
676	822	392
677	823	391
678	824	389
679	825	388
680	826	387
681	827	386
682	828	384
683	830	383
684	831	382
685	832	380
686	833	379
687	834	378
688	835	376
689	836	375
690	836	374
691	837	372
692	838	371
693	839	370
694	841	369
695	842	367
696	843	366
697	844	365
698	845	364
699	846	362
700	847	361
701	848	360
702	849	358
703	850	357
704	851	356
705	852	354
706	852	353
707	853	352
708	854	350
709	855	349
710	857	348
711	858	347
712	859	345
713	860	344
714	861	343
715	862	341
716	862	340
717	863	339
718	864	338
719	865	336
720	866	335
721	867	334
722	868	332
723	869	331
724	870	330
725	871	329
726	872	327
727	873	326
728	874	325
729	875	323
730	876	322
731	877	321
732	878	319
733	879	318
734	880	317
735	881	316
736	882	314
737	882	313
738	883	312
739	884	310
740	885	309
741	886	308
742	887	307
743	888	305
744	889	304
745	890	303
746	891	302
747	892	300
748	893	299
749	894	298
750	895	296
751	896	295
752	897	294
753	898	293
754	899	291
755	900	290
756	901	289
757	902	288
758	903	286
759	904	285
760	905	284
761	906	283
762	907	281
763	908	280
764	909	279
765	910	278
766	911	276
767	912	275
768	913	274
769	914	273
770	915	271
771	916	270
772	917	269
773	918	268
774	919	267
775	920	265
776	921	264
777	922	263
778	923	262
779	924	260
780	925	259
781	926	258
782	927	257
783	928	255
784	929	254
785	930	253
786	931	252
787	932	250
788	933	249
789	934	248
790	935	247
791	935	245
792	936	244
793	937	243
794	938	242
795	939	240
796	940	239
797	941	238
798	942	237
799	943	235
800	944	234
801	945	233
802	946	232
803	947	230
804	948	229
805	949	228
806	950	227
807	951	225
808	951	224
809	952	223
810	953	222
811	954	221
812	955	219
813	956	218
814	957	217
815	958	216
816	959	214
817	960	213
818	961	212
819	962	211
820	963	210
821	964	208
822	965	207
823	966	206
824	968	205
825	968	204
826	969	202
827	970	201
828	971	200
829	972	199
830	973	198
831	974	196
832	975	195
833	976	194
834	977	193
835	978	192
836	979	190
837	980	189
838	981	188
839	982	187
840	983	185
841	984	184
842	985	183
843	986	182
844	987	181
845	988	179
846	989	178
847	990	177
848	991	176
849	992	175
850	993	174
851	994	172
852	995	171
853	996	170
854	998	169
855	999	168
856	1000	166
857	1001	165
858	1002	164
859	1003	163
860	1003	162
861	1004	160
862	1005	159
863	1006	158
864	1007	157
865	1008	156
866	1009	154
867	1010	153
868	1011	152
869	1013	151
870	1014	150
871	1015	148
872	1015	147
873	1016	146
874	1017	145
875	1018	144
876	1019	143
877	1020	141
878	1021	140
879	1022	139
880	1023	138
881	1024	137
882	1025	135
883	1026	134
884	1027	133
885	1028	132
886	1029	131
887	1030	129
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1050	107
907	1051	106
908	1052	105
909	1053	104
910	1054	103
911	1055	101
912	1056	100
913	1057	99
914	1058	98
915	1059	97
916	1060	95
917	1061	94
918	1062	93
919	1063	92
920	1064	91
921	1065	90
922	1066	88
923	1067	87
924	1068	86
925	1069	85
926	1070	84
927	1071	83
928	1072	81
929	1073	80
930	1074	79
931	1075	78
932	1076	77
933	1077	76
934	1078	74
935	1079	73
936	1080	72
937	1081	71
938	1082	70
939	1083	69
940	1084	68
941	1085	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1090	61
947	1091	59
948	1092	58
949	1093	57
950	1095	56
951	1096	55
952	1097	54
953	1098	52
954	1099	51
955	1100	50
956	1101	49
957	1102	48
958	1103	47
959	1104	46
960	1105	44
961	1106	43
962	1107	42
963	1108	41
964	1110	40
965	1111	39
966	1112	37
967	1113	36
968	1114	35
969	1115	34
970	1117	33
971	1118	32
972	1119	31
973	1120	29
974	1121	28
975	1122	27
976	1123	26
977	1124	25
978	1125	24
979	1126	22
980	1128	21
981	1129	20
982	1130	19
983	1131	18
984	1132	17
985	1133	16
986	1134	14
987	1135	13
988	1136	12
989	1137	11
990	1138	10
991	1140	9
992	1141	8
993	1142	6
994	1143	5
995	1144	4
996	1145	3
997	1146	2
998	1147	1
999	1148	0
